state,pvi_538,white,black,hispanic,native_asian_pacific
Alabama,R+27,0.671,0.268,0.037,0.023
Alaska,R+15,0.677,0.038,0.05,0.234
Arizona,R+9,0.573,0.051,0.284,0.093
Arkansas,R+24,0.744,0.157,0.069,0.031
California,D+24,0.407,0.065,0.353,0.174
Colorado,D+1,0.71,0.046,0.192,0.053
Connecticut,D+11,0.689,0.12,0.135,0.056
Delaware,D+14,0.646,0.23,0.076,0.049
Florida,R+5,0.557,0.169,0.238,0.036
Georgia,R+12,0.546,0.324,0.081,0.049
Hawaii,D+36,0.218,0.022,0.038,0.722
Idaho,R+35,0.842,0.009,0.113,0.035
Illinois,D+13,0.63,0.146,0.159,0.066
Indiana,R+18,0.81,0.098,0.062,0.03
Iowa,R+6,0.872,0.04,0.054,0.033
Kansas,R+23,0.787,0.061,0.107,0.044
Kentucky,R+23,0.863,0.084,0.033,0.02
Louisiana,R+17,0.603,0.327,0.043,0.027
Maine,D+5,0.949,0.016,0.015,0.019
Maryland,D+23,0.534,0.309,0.083,0.074
Massachusetts,D+29,0.739,0.089,0.094,0.077
Michigan,D+1,0.774,0.141,0.044,0.041
Minnesota,D+2,0.82,0.068,0.046,0.066
Mississippi,R+15,0.578,0.378,0.026,0.018
Missouri,R+19,0.816,0.118,0.037,0.029
Montana,R+18,0.887,0.006,0.031,0.076
Nebraska,R+24,0.809,0.051,0.097,0.043
Nevada,R+1,0.532,0.101,0.256,0.112
New Hampshire,R+2,0.918,0.017,0.032,0.033
New Jersey,D+13,0.572,0.15,0.171,0.107
New Mexico,D+7,0.397,0.026,0.449,0.129
New York,D+22,0.58,0.176,0.143,0.101
North Carolina,R+5,0.651,0.222,0.078,0.049
North Dakota,R+33,0.862,0.034,0.03,0.074
Ohio,R+7,0.81,0.13,0.032,0.029
Oklahoma,R+34,0.715,0.078,0.089,0.118
Oregon,D+9,0.792,0.022,0.115,0.071
Pennsylvania,R+1,0.782,0.12,0.057,0.042
Rhode Island,D+26,0.748,0.084,0.119,0.049
South Carolina,R+17,0.656,0.271,0.048,0.024
South Dakota,R+31,0.838,0.024,0.03,0.108
Tennessee,R+28,0.757,0.171,0.048,0.025
Texas,R+17,0.435,0.128,0.373,0.063
Utah,R+31,0.806,0.014,0.127,0.053
Vermont,D+24,0.945,0.014,0.017,0.024
Virginia,D+0,0.646,0.199,0.08,0.075
Washington,D+12,0.728,0.043,0.109,0.12
West Virginia,R+30,0.939,0.036,0.014,0.011
Wisconsin,R+1,0.831,0.067,0.06,0.043
Wyoming,R+47,0.86,0.013,0.088,0.039
